command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	5911	File	tmp/9_0.c								
ANR	5912	Function	dprintf_Pass1	1:0:0:6077							
ANR	5913	FunctionDef	"dprintf_Pass1 (const char * format , va_stack_t * vto , char * * endpos , va_list arglist)"		5912	0					
ANR	5914	CompoundStatement		1:104:104:6077	5912	0					
ANR	5915	IdentifierDeclStatement	char * fmt = ( char * ) format ;	2:1:107:138	5912	0	True				
ANR	5916	IdentifierDecl	* fmt = ( char * ) format		5912	0					
ANR	5917	IdentifierDeclType	char *		5912	0					
ANR	5918	Identifier	fmt		5912	1					
ANR	5919	AssignmentExpression	* fmt = ( char * ) format		5912	2		=			
ANR	5920	Identifier	fmt		5912	0					
ANR	5921	CastExpression	( char * ) format		5912	1					
ANR	5922	CastTarget	char *		5912	0					
ANR	5923	Identifier	format		5912	1					
ANR	5924	IdentifierDeclStatement	int param_num = 0 ;	3:1:141:159	5912	1	True				
ANR	5925	IdentifierDecl	param_num = 0		5912	0					
ANR	5926	IdentifierDeclType	int		5912	0					
ANR	5927	Identifier	param_num		5912	1					
ANR	5928	AssignmentExpression	param_num = 0		5912	2		=			
ANR	5929	Identifier	param_num		5912	0					
ANR	5930	PrimaryExpression	0		5912	1					
ANR	5931	IdentifierDeclStatement	long this_param ;	4:1:162:178	5912	2	True				
ANR	5932	IdentifierDecl	this_param		5912	0					
ANR	5933	IdentifierDeclType	long		5912	0					
ANR	5934	Identifier	this_param		5912	1					
ANR	5935	IdentifierDeclStatement	long width ;	5:1:181:192	5912	3	True				
ANR	5936	IdentifierDecl	width		5912	0					
ANR	5937	IdentifierDeclType	long		5912	0					
ANR	5938	Identifier	width		5912	1					
ANR	5939	IdentifierDeclStatement	long precision ;	6:1:195:210	5912	4	True				
ANR	5940	IdentifierDecl	precision		5912	0					
ANR	5941	IdentifierDeclType	long		5912	0					
ANR	5942	Identifier	precision		5912	1					
ANR	5943	IdentifierDeclStatement	int flags ;	7:1:213:223	5912	5	True				
ANR	5944	IdentifierDecl	flags		5912	0					
ANR	5945	IdentifierDeclType	int		5912	0					
ANR	5946	Identifier	flags		5912	1					
ANR	5947	IdentifierDeclStatement	long max_param = 0 ;	8:1:226:245	5912	6	True				
ANR	5948	IdentifierDecl	max_param = 0		5912	0					
ANR	5949	IdentifierDeclType	long		5912	0					
ANR	5950	Identifier	max_param		5912	1					
ANR	5951	AssignmentExpression	max_param = 0		5912	2		=			
ANR	5952	Identifier	max_param		5912	0					
ANR	5953	PrimaryExpression	0		5912	1					
ANR	5954	IdentifierDeclStatement	long i ;	9:1:248:255	5912	7	True				
ANR	5955	IdentifierDecl	i		5912	0					
ANR	5956	IdentifierDeclType	long		5912	0					
ANR	5957	Identifier	i		5912	1					
ANR	5958	WhileStatement	while ( * fmt )		5912	8					
ANR	5959	Condition	* fmt	10:9:266:270	5912	0	True				
ANR	5960	UnaryOperationExpression	* fmt		5912	0					
ANR	5961	UnaryOperator	*		5912	0					
ANR	5962	Identifier	fmt		5912	1					
ANR	5963	CompoundStatement		10:17:169:169	5912	1					
ANR	5964	IfStatement	if ( * fmt ++ == '%' )		5912	0					
ANR	5965	Condition	* fmt ++ == '%'	11:6:282:296	5912	0	True				
ANR	5966	EqualityExpression	* fmt ++ == '%'		5912	0		==			
ANR	5967	UnaryOperationExpression	* fmt ++		5912	0					
ANR	5968	UnaryOperator	*		5912	0					
ANR	5969	PostIncDecOperationExpression	fmt ++		5912	1					
ANR	5970	Identifier	fmt		5912	0					
ANR	5971	IncDec	++		5912	1					
ANR	5972	PrimaryExpression	'%'		5912	1					
ANR	5973	CompoundStatement		11:24:195:195	5912	1					
ANR	5974	IfStatement	if ( * fmt == '%' )		5912	0					
ANR	5975	Condition	* fmt == '%'	12:6:308:319	5912	0	True				
ANR	5976	EqualityExpression	* fmt == '%'		5912	0		==			
ANR	5977	UnaryOperationExpression	* fmt		5912	0					
ANR	5978	UnaryOperator	*		5912	0					
ANR	5979	Identifier	fmt		5912	1					
ANR	5980	PrimaryExpression	'%'		5912	1					
ANR	5981	CompoundStatement		12:21:218:218	5912	1					
ANR	5982	ExpressionStatement	fmt ++	13:1:326:333	5912	0	True				
ANR	5983	PostIncDecOperationExpression	fmt ++		5912	0					
ANR	5984	Identifier	fmt		5912	0					
ANR	5985	IncDec	++		5912	1					
ANR	5986	ContinueStatement	continue ;	14:1:336:345	5912	1	True				
ANR	5987	ExpressionStatement	flags = FLAGS_NEW	16:1:351:369	5912	1	True				
ANR	5988	AssignmentExpression	flags = FLAGS_NEW		5912	0		=			
ANR	5989	Identifier	flags		5912	0					
ANR	5990	Identifier	FLAGS_NEW		5912	1					
ANR	5991	ExpressionStatement	param_num ++	17:1:372:385	5912	2	True				
ANR	5992	PostIncDecOperationExpression	param_num ++		5912	0					
ANR	5993	Identifier	param_num		5912	0					
ANR	5994	IncDec	++		5912	1					
ANR	5995	ExpressionStatement	"this_param = dprintf_DollarString ( fmt , & fmt )"	18:1:388:438	5912	3	True				
ANR	5996	AssignmentExpression	"this_param = dprintf_DollarString ( fmt , & fmt )"		5912	0		=			
ANR	5997	Identifier	this_param		5912	0					
ANR	5998	CallExpression	"dprintf_DollarString ( fmt , & fmt )"		5912	1					
ANR	5999	Callee	dprintf_DollarString		5912	0					
ANR	6000	Identifier	dprintf_DollarString		5912	0					
ANR	6001	ArgumentList	fmt		5912	1					
ANR	6002	Argument	fmt		5912	0					
ANR	6003	Identifier	fmt		5912	0					
ANR	6004	Argument	& fmt		5912	1					
ANR	6005	UnaryOperationExpression	& fmt		5912	0					
ANR	6006	UnaryOperator	&		5912	0					
ANR	6007	Identifier	fmt		5912	1					
ANR	6008	IfStatement	if ( 0 == this_param )		5912	4					
ANR	6009	Condition	0 == this_param	19:6:446:460	5912	0	True				
ANR	6010	EqualityExpression	0 == this_param		5912	0		==			
ANR	6011	PrimaryExpression	0		5912	0					
ANR	6012	Identifier	this_param		5912	1					
ANR	6013	ExpressionStatement	this_param = param_num	19:24:464:487	5912	1	True				
ANR	6014	AssignmentExpression	this_param = param_num		5912	0		=			
ANR	6015	Identifier	this_param		5912	0					
ANR	6016	Identifier	param_num		5912	1					
ANR	6017	IfStatement	if ( this_param > max_param )		5912	5					
ANR	6018	Condition	this_param > max_param	20:6:495:516	5912	0	True				
ANR	6019	RelationalExpression	this_param > max_param		5912	0		>			
ANR	6020	Identifier	this_param		5912	0					
ANR	6021	Identifier	max_param		5912	1					
ANR	6022	ExpressionStatement	max_param = this_param	20:31:520:543	5912	1	True				
ANR	6023	AssignmentExpression	max_param = this_param		5912	0		=			
ANR	6024	Identifier	max_param		5912	0					
ANR	6025	Identifier	this_param		5912	1					
ANR	6026	ExpressionStatement	width = 0	21:1:546:556	5912	6	True				
ANR	6027	AssignmentExpression	width = 0		5912	0		=			
ANR	6028	Identifier	width		5912	0					
ANR	6029	PrimaryExpression	0		5912	1					
ANR	6030	ExpressionStatement	precision = 0	22:1:559:573	5912	7	True				
ANR	6031	AssignmentExpression	precision = 0		5912	0		=			
ANR	6032	Identifier	precision		5912	0					
ANR	6033	PrimaryExpression	0		5912	1					
ANR	6034	WhileStatement	while ( dprintf_IsQualifierNoDollar ( fmt ) )		5912	8					
ANR	6035	Condition	dprintf_IsQualifierNoDollar ( fmt )	23:9:584:618	5912	0	True				
ANR	6036	CallExpression	dprintf_IsQualifierNoDollar ( fmt )		5912	0					
ANR	6037	Callee	dprintf_IsQualifierNoDollar		5912	0					
ANR	6038	Identifier	dprintf_IsQualifierNoDollar		5912	0					
ANR	6039	ArgumentList	fmt		5912	1					
ANR	6040	Argument	fmt		5912	0					
ANR	6041	Identifier	fmt		5912	0					
ANR	6042	CompoundStatement		23:47:517:517	5912	1					
ANR	6043	Statement	if	24:3:627:628	5912	0	True				
ANR	6044	Statement	defined	24:6:630:636	5912	1	True				
ANR	6045	Statement	(	24:14:638:638	5912	2	True				
ANR	6046	Statement	MP_HAVE_INT_EXTENSIONS	24:16:640:661	5912	3	True				
ANR	6047	Statement	)	24:39:663:663	5912	4	True				
ANR	6048	IfStatement	"if ( ! strncmp ( fmt , ""I32"" , 3 ) )"		5912	5					
ANR	6049	Condition	"! strncmp ( fmt , ""I32"" , 3 )"	24:46:670:698	5912	0	True				
ANR	6050	UnaryOperationExpression	"! strncmp ( fmt , ""I32"" , 3 )"		5912	0					
ANR	6051	UnaryOperator	!		5912	0					
ANR	6052	CallExpression	"strncmp ( fmt , ""I32"" , 3 )"		5912	1					
ANR	6053	Callee	strncmp		5912	0					
ANR	6054	Identifier	strncmp		5912	0					
ANR	6055	ArgumentList	fmt		5912	1					
ANR	6056	Argument	fmt		5912	0					
ANR	6057	Identifier	fmt		5912	0					
ANR	6058	Argument	"""I32"""		5912	1					
ANR	6059	PrimaryExpression	"""I32"""		5912	0					
ANR	6060	Argument	3		5912	2					
ANR	6061	PrimaryExpression	3		5912	0					
ANR	6062	CompoundStatement		24:78:597:597	5912	1					
ANR	6063	ExpressionStatement	flags |= FLAGS_LONG	25:1:705:725	5912	0	True				
ANR	6064	AssignmentExpression	flags |= FLAGS_LONG		5912	0		|=			
ANR	6065	Identifier	flags		5912	0					
ANR	6066	Identifier	FLAGS_LONG		5912	1					
ANR	6067	ExpressionStatement	fmt += 3	26:1:728:737	5912	1	True				
ANR	6068	AssignmentExpression	fmt += 3		5912	0		+=			
ANR	6069	Identifier	fmt		5912	0					
ANR	6070	PrimaryExpression	3		5912	1					
ANR	6071	ElseStatement	else		5912	0					
ANR	6072	IfStatement	"if ( ! strncmp ( fmt , ""I64"" , 3 ) )"		5912	0					
ANR	6073	Condition	"! strncmp ( fmt , ""I64"" , 3 )"	28:11:753:781	5912	0	True				
ANR	6074	UnaryOperationExpression	"! strncmp ( fmt , ""I64"" , 3 )"		5912	0					
ANR	6075	UnaryOperator	!		5912	0					
ANR	6076	CallExpression	"strncmp ( fmt , ""I64"" , 3 )"		5912	1					
ANR	6077	Callee	strncmp		5912	0					
ANR	6078	Identifier	strncmp		5912	0					
ANR	6079	ArgumentList	fmt		5912	1					
ANR	6080	Argument	fmt		5912	0					
ANR	6081	Identifier	fmt		5912	0					
ANR	6082	Argument	"""I64"""		5912	1					
ANR	6083	PrimaryExpression	"""I64"""		5912	0					
ANR	6084	Argument	3		5912	2					
ANR	6085	PrimaryExpression	3		5912	0					
ANR	6086	CompoundStatement		28:43:680:680	5912	1					
ANR	6087	ExpressionStatement	flags |= FLAGS_LONGLONG	29:1:788:812	5912	0	True				
ANR	6088	AssignmentExpression	flags |= FLAGS_LONGLONG		5912	0		|=			
ANR	6089	Identifier	flags		5912	0					
ANR	6090	Identifier	FLAGS_LONGLONG		5912	1					
ANR	6091	ExpressionStatement	fmt += 3	30:1:815:824	5912	1	True				
ANR	6092	AssignmentExpression	fmt += 3		5912	0		+=			
ANR	6093	Identifier	fmt		5912	0					
ANR	6094	PrimaryExpression	3		5912	1					
ANR	6095	ElseStatement	else		5912	0					
ANR	6096	Statement	endif	32:8:837:841	5912	0	True				
ANR	6097	SwitchStatement	switch ( * fmt ++ )		5912	6					
ANR	6098	Condition	* fmt ++	32:23:852:859	5912	0	True				
ANR	6099	UnaryOperationExpression	* fmt ++		5912	0					
ANR	6100	UnaryOperator	*		5912	0					
ANR	6101	PostIncDecOperationExpression	fmt ++		5912	1					
ANR	6102	Identifier	fmt		5912	0					
ANR	6103	IncDec	++		5912	1					
ANR	6104	CompoundStatement		32:34:758:758	5912	1					
ANR	6105	Label	case ' ' :	33:1:866:875	5912	0	True				
ANR	6106	ExpressionStatement	flags |= FLAGS_SPACE	33:12:877:898	5912	1	True				
ANR	6107	AssignmentExpression	flags |= FLAGS_SPACE		5912	0		|=			
ANR	6108	Identifier	flags		5912	0					
ANR	6109	Identifier	FLAGS_SPACE		5912	1					
ANR	6110	BreakStatement	break ;	34:1:901:907	5912	2	True				
ANR	6111	Label	case '+' :	35:1:910:919	5912	3	True				
ANR	6112	ExpressionStatement	flags |= FLAGS_SHOWSIGN	35:12:921:945	5912	4	True				
ANR	6113	AssignmentExpression	flags |= FLAGS_SHOWSIGN		5912	0		|=			
ANR	6114	Identifier	flags		5912	0					
ANR	6115	Identifier	FLAGS_SHOWSIGN		5912	1					
ANR	6116	BreakStatement	break ;	36:1:948:954	5912	5	True				
ANR	6117	Label	case '-' :	37:1:957:966	5912	6	True				
ANR	6118	ExpressionStatement	flags |= FLAGS_LEFT	37:12:968:988	5912	7	True				
